game,game_type,game_date,game_day,game_time,team_name_top,team_name_bottom,1_top,2_top,3_top,4_top,5_top,6_top,7_top,8_top,9_top,points_top,1_bottom,2_bottom,3_bottom,4_bottom,5_bottom,6_bottom,7_bottom,8_bottom,9_bottom,points_bottom
781994,公式戦,2024-04-07,日,11:00,留年バスターズ,HEROES,4,12.0,2.0,0.0,,,,,,18,0,0.0,0.0,2.0,,,,,,2
779690,公式戦,2024-03-31,日,11:00,留年バスターズ,三鷹Pract…,1,0.0,0.0,0.0,0.0,0.0,4.0,,,5,0,0.0,1.0,0.0,0.0,1.0,0.0,,,2
774819,練習試合,2024-03-10,日,15:00,留年バスターズ,らんぱち,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,3,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,3
773918,練習試合,2024-03-10,日,11:00,留年バスターズ,Shouyers,2,0.0,1.0,3.0,0.0,4.0,0.0,,,10,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
769230,練習試合,2024-02-12,月,9:00,光が丘W…,留年バス…,2,0.0,0.0,0.0,0.0,0.0,0.0,,,2,5,0.0,0.0,4.0,0.0,0.0,1.0,,,10
763540,公式戦,2023-11-26,日,14:00,留年バスターズ,G-citru…,1,1.0,0.0,0.0,3.0,0.0,0.0,,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
763538,公式戦,2023-10-29,日,11:00,留年バスターズ,セブンスター,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0.0,0.0,2.0,0.0,0.0,,,,2
763536,練習試合,2023-09-30,土,15:00,留年バスターズ,住友重機,2,1.0,0.0,0.0,0.0,0.0,0.0,,,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
735846,練習試合,2023-09-16,土,13:00,留年バスターズ,REDFOX,0,0.0,2.0,3.0,,,,,,5,0,0.0,1.0,0.0,,,,,,1
735837,練習試合,2023-09-16,土,11:20,留年バスターズ,REDFOX,0,0.0,4.0,0.0,4.0,0.0,3.0,,,11,0,0.0,0.0,4.0,0.0,1.0,0.0,,,5
730655,公式戦,2023-08-27,日,17:00,留年バスターズ,G-mates,0,0.0,0.0,0.0,0.0,0.0,,,,0,2,1.0,4.0,0.0,2.0,,,,,9
727802,練習試合,2023-08-20,日,11:00,留年バスターズ,ベーランズ,0,1.0,2.0,0.0,0.0,2.0,0.0,,,5,1,2.0,2.0,0.0,0.0,0.0,0.0,,,5
726395,公式戦,2023-08-13,日,13:00,Olit…,留年バス…,0,0.0,0.0,2.0,0.0,2.0,,,,4,1,1.0,3.0,0.0,6.0,,,,,11
721338,練習試合,2023-07-16,日,11:00,Team…,留年バス…,0,0.0,0.0,4.0,1.0,0.0,,,,5,1,0.0,3.0,1.0,5.0,,,,,10
721330,練習試合,2023-07-09,日,11:00,ドミンゴ,留年バス…,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,7.0,4.0,4.0,0.0,,,15
721324,練習試合,2023-06-24,土,12:45,街風Tw…,留年バス…,0,0.0,0.0,0.0,3.0,0.0,0.0,,,3,2,0.0,0.0,0.0,1.0,3.0,,,,6
721320,練習試合,2023-06-10,土,11:00,留年バスターズ,レイダース,0,3.0,1.0,0.0,0.0,1.0,,,,5,0,0.0,0.0,0.0,0.0,,,,,0
723573,練習試合,2023-05-28,日,13:00,留年バスターズ,落合サンダース,2,0.0,0.0,3.0,0.0,5.0,,,,10,0,1.0,0.0,0.0,0.0,0.0,,,,1
702659,練習試合,2023-05-21,日,18:30,Toky…,留年バス…,0,,,,,,,,,0,6,,,,,,,,,6
702651,公式戦,2023-05-21,日,17:00,Toky…,留年バス…,0,0.0,0.0,0.0,0.0,0.0,,,,0,0,1.0,0.0,0.0,1.0,5.0,,,,7
699963,公式戦,2023-05-14,日,9:00,留年バスターズ,神奈川インフィ…,0,0.0,0.0,0.0,1.0,0.0,,,,1,0,0.0,0.0,0.0,1.0,1.0,,,,2
697383,練習試合,2023-04-30,日,11:00,留年バスターズ,The Pro…,2,4.0,1.0,0.0,0.0,,,,,7,0,2.0,1.0,0.0,2.0,,,,,5
694525,練習試合,2023-04-22,土,10:00,留年バスターズ,Mads,0,1.0,7.0,2.0,1.0,2.0,,,,13,0,0.0,0.0,0.0,0.0,1.0,,,,1
692623,練習試合,2023-04-09,日,15:00,留年バスターズ,G-citru…,0,0.0,0.0,3.0,2.0,1.0,0.0,,,6,1,0.0,3.0,1.0,0.0,0.0,,,,5
687705,練習試合,2023-03-19,日,12:30,留年バスターズ,トラベラーズ,4,,,,,,,,,4,0,,,,,,,,,0
687703,公式戦,2023-03-19,日,11:00,留年バスターズ,トラベラーズ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
682007,練習試合,2023-02-25,土,9:00,留年バスターズ,Club TM,0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,10,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,4
679121,練習試合,2023-02-12,日,14:00,留年バスターズ,Blacks,0,0.0,1.0,0.0,0.0,0.0,0.0,,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
678279,練習試合,2023-02-05,日,13:00,デビルヤ…,留年バス…,0,0.0,1.0,1.0,1.0,0.0,0.0,,,3,0,0.0,1.0,0.0,0.0,1.0,0.0,,,2
672711,練習試合,2022-12-18,日,14:00,ユーローズ,留年バス…,0,0.0,1.0,1.0,0.0,2.0,,,,4,0,1.0,0.0,0.0,1.0,0.0,,,,2
670103,練習試合,2022-11-27,日,10:00,留年バスターズ,ピエールズ,0,4.0,1.0,2.0,0.0,0.0,,,,7,3,2.0,2.0,2.0,0.0,,,,,9
670100,練習試合,2022-11-20,日,15:00,留年バスターズ,フォース,0,0.0,0.0,1.0,0.0,3.0,,,,4,2,0.0,2.0,0.0,0.0,1.0,,,,5
663990,練習試合,2022-11-13,日,17:00,金沢高校…,留年バス…,0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,,11,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,3
662248,練習試合,2022-10-29,土,17:00,留年バスターズ,alterma…,2,0.0,0.0,0.0,0.0,2.0,0.0,,,4,0,0.0,0.0,1.0,0.0,0.0,,,,1
656515,練習試合,2022-10-23,日,11:00,タキオンズ,留年バス…,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5
656503,練習試合,2022-10-01,土,17:00,留年バスターズ,BAKI,0,0.0,0.0,0.0,1.0,,,,,1,0,0.0,2.0,0.0,2.0,,,,,4
656266,練習試合,2022-10-01,土,11:00,留年バスターズ,ジェイック野球…,0,0.0,0.0,0.0,1.0,0.0,,,,1,2,1.0,1.0,5.0,0.0,0.0,,,,9
634136,練習試合,2022-08-06,土,10:45,留年バスターズ,SLASH,2,0.0,3.0,2.0,1.0,3.0,,,,11,0,1.0,0.0,0.0,2.0,,,,,3
628300,公式戦,2022-07-17,日,17:00,SAMI…,留年バス…,0,2.0,2.0,0.0,0.0,1.0,,,,5,1,2.0,0.0,6.0,2.0,0.0,,,,11
624873,練習試合,2022-07-03,日,10:00,留年バスターズ,それゆけ！！ザ…,0,0.0,0.0,0.0,0.0,1.0,,,,1,1,0.0,4.0,0.0,0.0,0.0,,,,5
619655,公式戦,2022-06-19,日,10:00,留年バスターズ,Charlies,0,1.0,0.0,0.0,1.0,1.0,0.0,,,3,0,0.0,0.0,0.0,1.0,0.0,0.0,,,1
628284,練習試合,2022-06-04,土,15:00,セイレーン,留年バス…,0,0.0,2.0,0.0,0.0,2.0,1.0,,,5,1,0.0,3.0,0.0,3.0,0.0,,,,7
